,flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
0,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C24,16.0,2022-04-03T06:00:00+00:00,2022-04-03T06:00:00+00:00,2022-04-03T06:16:00+00:00,2022-04-03T06:16:00+00:00,2022-04-03T06:16:00+00:00,Sky Harbor International,America/Phoenix,PHX,KPHX,4,B6,3,,2022-04-03T06:35:00+00:00,2022-04-03T06:35:00+00:00,2022-04-03T06:23:00+00:00,2022-04-03T06:23:00+00:00,2022-04-03T06:23:00+00:00,American Airlines,AA,AAL,474,AA474,AAL474,,,,,,,,,,,,,
1,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C21,18.0,2022-04-03T05:00:00+00:00,2022-04-03T05:00:00+00:00,2022-04-03T05:18:00+00:00,2022-04-03T05:18:00+00:00,2022-04-03T05:18:00+00:00,Charlotte Douglas,America/New_York,CLT,KCLT,2,C12,C,,2022-04-03T08:27:00+00:00,2022-04-03T08:27:00+00:00,2022-04-03T08:18:00+00:00,2022-04-03T08:18:00+00:00,2022-04-03T08:18:00+00:00,American Airlines,AA,AAL,575,AA575,AAL575,,N970UY,A321,A321,AD857E,,,,,,,,
2,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C15,9.0,2022-04-03T05:05:00+00:00,2022-04-03T05:05:00+00:00,2022-04-03T05:14:00+00:00,2022-04-03T05:14:00+00:00,2022-04-03T05:14:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,K19,,,2022-04-03T07:23:00+00:00,2022-04-03T07:23:00+00:00,2022-04-03T07:07:00+00:00,2022-04-03T07:07:00+00:00,2022-04-03T07:07:00+00:00,American Airlines,AA,AAL,2812,AA2812,AAL2812,,N997AA,A321,A321,ADECA5,,,,,,,,
3,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,D,D25,1.0,2022-04-03T08:00:00+00:00,2022-04-03T08:00:00+00:00,2022-04-03T07:53:00+00:00,2022-04-03T07:53:00+00:00,2022-04-03T07:53:00+00:00,Tulsa International,America/Chicago,TUL,KTUL,S,,,,2022-04-03T09:16:00+00:00,2022-04-03T09:16:00+00:00,2022-04-03T08:37:00+00:00,2022-04-03T08:37:00+00:00,2022-04-03T08:37:00+00:00,American Airlines,AA,AAL,9780,AA9780,AAL9780,,,,,,,,,,,,,
4,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A38,12.0,2022-04-03T08:51:00+00:00,2022-04-03T08:51:00+00:00,2022-04-03T09:02:00+00:00,2022-04-03T09:02:00+00:00,2022-04-03T09:02:00+00:00,Palm Springs Metropolitan Area,America/Los_Angeles,PSP,KPSP,3,4,,,2022-04-03T10:06:00+00:00,2022-04-03T10:06:00+00:00,2022-04-03T09:43:00+00:00,2022-04-03T09:43:00+00:00,2022-04-03T09:43:00+00:00,American Airlines,AA,AAL,2673,AA2673,AAL2673,,N840AW,A319,A319,AB7FEE,,,,,,,,
5,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,E,E34,13.0,2022-04-03T11:08:00+00:00,2022-04-03T11:08:00+00:00,2022-04-03T11:20:00+00:00,2022-04-03T11:20:00+00:00,2022-04-03T11:20:00+00:00,Bismarck,America/Chicago,BIS,KBIS,,,,,2022-04-03T13:57:00+00:00,2022-04-03T13:57:00+00:00,2022-04-03T13:41:00+00:00,2022-04-03T13:41:00+00:00,2022-04-03T13:41:00+00:00,American Airlines,AA,AAL,3088,AA3088,AAL3088,,N706SK,CRJ7,CRJ7,A96C72,,,,,,,,
6,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B11,17.0,2022-04-03T19:09:00+00:00,2022-04-03T19:09:00+00:00,,,,Bob Hope,America/Los_Angeles,BUR,KBUR,A,8,,,2022-04-03T20:27:00+00:00,2022-04-03T20:27:00+00:00,,,,American Airlines,AA,AAL,2597,AA2597,AAL2597,,,,,,,,,,,,,
7,2022-04-03,scheduled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,D,D1,17.0,2022-04-03T18:30:00+00:00,2022-04-03T18:30:00+00:00,,,,Austin-bergstrom International,America/Chicago,AUS,KAUS,S,30,3,,2022-04-03T19:31:00+00:00,2022-04-03T19:31:00+00:00,,,,American Airlines,AA,AAL,2199,AA2199,AAL2199,,,,,,,,,,,,,
8,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C24,11.0,2022-04-03T08:50:00+00:00,2022-04-03T08:50:00+00:00,2022-04-03T09:01:00+00:00,2022-04-03T09:01:00+00:00,2022-04-03T09:01:00+00:00,Tampa International,America/New_York,TPA,KTPA,2,F84,4,,2022-04-03T12:14:00+00:00,2022-04-03T12:14:00+00:00,2022-04-03T12:01:00+00:00,2022-04-03T12:01:00+00:00,2022-04-03T12:01:00+00:00,American Airlines,AA,AAL,2714,AA2714,AAL2714,,,,,,,,,,,,,
9,2022-04-03,active,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B2,25.0,2022-04-03T13:40:00+00:00,2022-04-03T13:40:00+00:00,2022-04-03T14:04:00+00:00,2022-04-03T14:04:00+00:00,2022-04-03T14:04:00+00:00,El Paso International Airport,America/Denver,ELP,KELP,4,A1,,4.0,2022-04-03T14:27:00+00:00,2022-04-03T14:27:00+00:00,,,,American Airlines,AA,AAL,3970,AA3970,AAL3970,,,,,,,,,,,,,
